COG Customer Item Number,TEC Item Number,Item Descripton,Supplier Code,Subcategory,Price
360359,SPRAM45-386F-40PI,SWITCHGEAR PADMOUNTED LOADBREAK 27KV,GWE02,3SWITCHURD ,0
360360,FI-3AS24TRB,FAULT INDICATOR OVERHEAD 120A 24HR RESET,SMA02,3FAULTIND  ,162.35
360363,ARBUTUS 3700LB NRR,795 MCM AAC 3700LB 66X32X32 NRR (4960 FT PROX),CME02,3WIREBAREA ,4.11
360366,LU200 MOGUL,BULB 200W HPS MOGUL BASE,HOW02,3LGHTLAMP  ,6.11
360367,LU400,BULB 400W HPS MOG BASE S51 ET18 CLEAR,HOW02,3LGHTLAMP  ,7.39
360372,MH100/U/MOG,BULB 100W MH MOGUL BASE CLEAR,HOW02,3LGHTLAMP  ,6.86
360375,360375,"BASE FOR STREETLIGHT POLE BREAKAWAY 20' HIGH 11""-13"" BC",CIT05,3LGHTARM   ,0
360382,ATBSFMVOLTR3XLP5A0NLRFD204077,FIXTURE ROADWAY 50W ADJUSTABLE LED MULTI VOLT FOREST GREEN W/ PHOTO RECEPTACLE,ACU03,3LGHTLED   ,0
360383,PVI62-386-12-62F,INSULATED DEADFRONT PDMNT 2 WAY 4 LOAD SWITCH 25KV 125KV BIL SF6,RYA03,3SWITCHURD ,92685.19
360385,ATBMFMVOLTR3XLP5A0NLRFD204078,FIXTURE ROADWAY 130W ADJUSTABLE LED MULTI VOLT FOREST GREEN W/ PHOTOCONTROL,ACU03,3LGHTLED   ,0
360387,1313010,LOCK ROTARY SHACKLE W/OUT KEYS STERLING BRAND CITY OF GEORGETOWN,ENG02,3SAFETY    ,9.08
360399,C58813,GROUND ROD 5/8IN X 8FT CU 13MIL,SOU53,3GRROD     ,15.15
360405,SDV7-SE-ZN,BREAKER CIRCUIT W/ VS-25008 INTERRUPTER,SIE02,3SWITCH3PH ,0
360410,FW50SSPPBE,"WASHER BELLEVILLE 1/2"" SS",ALL15,3FASTENERS ,0.28
360412,31080,FUSE FIT ALL TYPE K 80A,COO02,3FUSE      ,8
360414,CONCH 500FT COIL,2 AWG AL TRIPLEX ACSR NEU 500FT COIL,CME02,3WIREOHSEC ,1
360416,51002,FUSE FIT ALL TYPE T 2A,COO02,3FUSE      ,4.79
360418,AR134FFLPT,SWITCH AIRBREAK 25KV 900AMP VERT MOUNT VERT SWING AUTO READY,ARK05,3SWITCH3PH ,0
360419,Y619973,DECAL URD TAG KIT BLUE 2X2.5 (PACK 25),ELE01,3SIGNS     ,0
360421,COSTENA 1200FT NRR,1/0 AWG AL QUAD ACSR NEU 1200FT 42X26X18 NRR,CME02,3WIREOHSEC ,1.5
360425,25 DV-240/120 PAD-VFI,PAD 25 KVA 14400/7200 240/120 1PH TYPE 2 VFI SWITCH,COO02,3TRANURD1P ,8757.79
360429,SUNYYK2.5NB8,"LABEL LETTER-C 2.5IN TALL ""8"" YELLOW ON BLACK HIGHLY REFLECTIVE",ELE01,3SIGNS     ,0
360431,SUNYYK2.5NB0,"LABEL LETTER-C 2.5IN TALL ""0"" YELLOW ON BLACK HIGHLY REFLECTIVE",ELE01,3SIGNS     ,0
360432,URDP1KITW,TAG BLANK WHITE 2X2.5 URD KIT W/ ZIP TIES (Y605674),ELE01,3SIGNS     ,0
360434,8708,BOLT MACHINE GALV 1/2 X 8,POW06,3BOLTWSHR  ,1.11
360435,8806,BOLT MACHINE GALV 5/8 X 6,ALU01,3BOLTWSHR  ,1
360437,GLN-AL-05,"POLE TAG AL PLATE FOR 1"" STICKERS 6""X5""X.2 (PREMAX)",CIT05,3SIGNS     ,0
360438,U1240BW-COG-TX,"TAG POLE 1 1/4"" X 4 11/16"" LABEL BLACK ON  LOGO CITY OF GEORGETOWN",CIT05,3SIGNS     ,0
360440,U1080SYB-120-0,"LABEL LETTER-1IN TALL '0""  YELLOW ON BLACK SHEET",UTI05,3SIGNS     ,0
360443,U1080SYB-120-3,"LABEL LETTER-1IN TALL '3""  YELLOW ON BLACK SHEET",UTI05,3SIGNS     ,0
360445,ADSB48N,CLAMP DEAD END SHOE STRAIGHT LINE #6 - 3/0 .18-.502 IN SINGLE BOLT,CIT05,3DESHOES   ,0
360445,ASO-398-1-N,CLAMP DEAD END SHOE #6 - 2/0 SIDE LOADING,MAC10,3DESHOES   ,9.57
360446,ADE2526S,CLAMP DEADEND CLAMP QUADRANT STYLE 336.4 26/7 - 1192.5 45/7 ACSR W/ SOCKET,MAC10,3DESHOES   ,97.26
360446,ADEZ116N,CLAMP DEAD END SHOE 336 - 954 ACSR SIDE LOADING .68-1.16 IN,ELE05,3DESHOES   ,30.64
360448,178,"LOCKWASHER SPRING DOUBLE COIL HDG FOR 3/4"" BOLT ""J178""",MAC10,3BOLTWSHR  ,0.49
360455,U1080SYB-120-A,"LABEL LETTER-1IN TALL 'A""  YELLOW ON BLACK",UTI05,3SIGNS     ,0
360457,75 14.4-240/120 PAD GT,PAD 75 KVA 14400 240/120 1PH,ERM02,3TRANURD1P ,2705.77
360457,U1080SYB-120-C,"LABEL LETTER-1IN TALL 'C""  YELLOW ON BLACK",UTI05,3SIGNS     ,0
360458,CSTK2,STRAP KIT 2IN,CIT05,3BRACKET   ,0
360458,STK2A,"STRAP KIT 2""",ALU01,3BRACKET   ,4.47
360462,STK-6A,STRAP KIT 6IN,ALU01,3BRACKET   ,8
360464,225 14.4-208/120 3PH PAD PEC,PAD 225 KVA 14400 208/120 3PH PEC SPEC,ERM02,3TRANURD3P ,17614.68
360465,56-1-POLY,INSULATOR PIN J-NECK 56-1 1-3/8IN POLY HPI-25J-02 INS-25-PJ-2,ALU01,3INSULPOLY ,9.81
360467,2000 14.4-480/277 3PH PAD,PAD 2000 KVA 14400 480/277 3PH,GEP01,3TRANURD3P ,45317.28
360468,PAD CONCRETE METER PEDESTAL,"PAD CONCRETE METER PEDESTAL 301X30X5 WITH 8X8 OPENENING AND 4 HOLES 3.75""",FOR18,3XFRMRPAD  ,166.67
360469,U1080SYB-120-7,"LABEL LETTER-1IN TALL '7""  YELLOW ON BLACK SHEET",UTI05,3SIGNS     ,0
360470,U1080SYB-120-8,"LABEL LETTER-1IN TALL '8""  YELLOW ON BLACK SHEET",UTI05,3SIGNS     ,0
360471,75 14.4-480/277 3PH PAD,PAD 75KVA 14400 480/277 3PH PAD,GEP01,3TRANURD3P ,6904.32
360472,112.5 14.4-480/277 3PH PAD,PAD 112.5 KVA 14400 480/277 3PH W/TAPS,GEP01,3TRANURD3P ,8139.27
360473,150 14.4-480/277 3PH PAD,PAD 150  KVA 14400 480/277 3PH W/TAPS,GEP01,3TRANURD3P ,8073.39
360474,225 14.4-480/277 3PH PAD,PAD 225 KVA 14400 480/277 3PH W/TAPS,GEP01,3TRANURD3P ,9479.01
360476,SLA1075,BATTERY 12V 7.5AH SLA FOR SCHWEITZER RELAY,ELE18,3BATTERY   ,30.13
360477,750 14.4-480/277 3PH PAD,PAD 750 KVA 14400 480/277 3PH W/TAPS,ERM02,3TRANURD3P ,15073.87
360480,1.11186E+13,"MARKER POST FIBERCURVE 72""X4"" W/ CITY OF GEORGETOWN LABEL",ELE01,3SIGNS     ,0
360481,614,PAINT AEROSOL TRANSFORMER GREEN 12.58OZ CAN (12/CASE),SOL02,3AEROSOL   ,12.27
360483,50 14.4-120/240 2B,CONV 50 KVA 14400 120/240 2 BUSHING,GEP01,3TRANOH    ,1344.53
360484,75 14.4-120/240 2B,CONV 75 KVA 14400 120/240 2 BUSHING,GEP01,3TRANOH    ,1918.06
360484,NYA 16F5J 17 P07 ABG BN,POLE STREET LIGHT ANTIQUE 16' GREEN CITY OF GEORGETOWN,CIT05,3POLELGHT  ,0
360484,NYA 16F5J 17 P07 ABG BN-ZN,POLE STREET LIGHT ANTIQUE 16' GREEN CITY OF GEORGETOWN,CIT05,3POLELGHT  ,0
360487,25 14.4-277/480 2B,CONV 25 KVA 14400 277/480 2 BUSHING,GEP01,3TRANOH    ,982.65
360487,GS204822W,"GROUND SLEEVE 48"" METAL",CIT05,3GRDSLEEVE ,0
360489,50 14.4-277/480 2B,CONV 50 KVA 14400 277/480 2 BUSHING,GEP01,3TRANOH    ,990.12
360490,TAG-WP-WIRE-CUT,LABEL TAG-WP-WIRE-CUT,CIT05,3SIGNS     ,0
360491,TH-5SL,TAG HOLDER ALUMINUM 1IN VERTICAL 5 SPACES,ALM02,3SIGNS     ,0
360492,POLE TAG VERTICAL V500 NO 0-9,POLE TAG VERTICAL V500 NO 0-9,CIT05,3SIGNS     ,0
360494,750X136464,CURRENT TRANSFORMER 600V 500:5 JAB-0W PAD MTD ENCOMPASS HI TEMP,GEG02,3CTVTPT    ,96.9
360494,COV0500ANN,CURRENT TRANSFORMER SECONDARY HIGH ACCURACY 500:5 ALTA SERIES COV-6 600V METERING CT,TEX143,3CTVTPT    ,132.28
360498,SSA1244C,FIXTURE HPS TWO HEAD GREEN 100W 12',CIT05,3LGHTHID   ,0
360502,PCA304836-90248,ENCLOSURE 30 W X 48 L X 36 D W/POLYMER CONCRETE LID STAMPED FIBER ON LID 4 HOLE,NEW15,3FIBERENCL ,629.63
360504,S-99,"SILICONE SPRAY 16OZ ""SALCON""",SAL04,3LUBRICANT ,17.93
360506,GDE5102,DEADEND AUTO 3/8 & 14M GUY STRAND,ARK05,3CONNAUTO  ,14.83
360507,PC1212BA12,BOX POLY/CONCRETE 12X12X12 SPLICE BOX WITH ID QUAZITE,CIT05,3PEDESTAL  ,0
360508,SEL-07340N9F3D3626E8G6G3C0008,ADVANCED METERING SYSTEM 734#0102,SCH08,3RELAYCTRL ,0
360509,SEL-915900015,MOUNTING KIT DIN RAIL FOR SEL SATELLITE-SYNCHRONIZED CLOCKS,SCH08,3RELAYCTRL ,18.52
360509,SEL-915900215,BRACKET CAP MOUNTING KIT W/ STRAPS/BARS,SCH08,3RELAYCTRL ,0
360510,SEL-9250011,SLEEVE SECURITY,SCH08,3RELAYCTRL ,0
360514,274LRF,ELBOW PROBE 25KV,THO05,3MLDRUBBER ,14.01
360517,U2594X,SOCKET METER 320A 7T OH/UG CP W/BYPASS **W/OUT LUGS**,MIL07,3SOCKETS   ,349.48
360519,H4306Q,"SOCKET METER 320A 1PH 3"" HUB",DUR03,3SOCKETS   ,0
360520,8453,CABLE SEALING KIT 15KV 2/0-1000 25KV 1/0-750 35KV 1/0-500,3M002,3TERMINATO ,25.84
360521,MC1W-41200-U,SOCKET METER 200A 4T UG BLANK SWY,SAL10,3SOCKETS   ,107.14
360522,S1129X,SOCKET METER 320A 4T UG W/BYPASS,MIL07,3SOCKETS   ,167.74
360524,Y605673,"TAG 3.25""X5.5"" EQUIPMENT BLK/RED PHASE A URD A",ELE01,3SIGNS     ,0
360526,Y618611,"TAG 3.25""X5.5"" EQUIPMENT BLK/WHT PHASE B URD B",ELE01,3SIGNS     ,0
360527,Y4163206,"LABEL 4""X6"" BLUE/SVR ""NORMALLY OPEN""",ELE01,3SIGNS     ,0
360528,BRONCO 500FT NRR,336.4 MCM QUAD W/ 336 ACSR NEUTRAL OH SERVICE DROP,CME02,3WIREOHSEC ,4.26
360530,S4067-XL-200,SOCKET METER 200A 4T CP W/ 200A MAIN BREAKER,MIL07,3SOCKETS   ,215.22
360535,UT-H7233U,SOCKET METER 200A 3PH HCP 7T,DUR03,3SOCKETS   ,225.19
360537,BAD2PLK-62,BOLT-A-BAND FOR STEEL POLES,BAR04,3BRACKET   ,0
360540,BASOCL6-24FW,BRACKET CONDUIT STAND-OFF 6IN W/ 24IN FOUR WAY T SLOT,BAR04,3BRACKET   ,0
360541,CFH27-100A-8KA,FUSE TUBE 27KV 100A 125BIL 8KAIC,ALU01,3CUTOUTTUB ,53.5
360541,T710-211T,FUSE TUBE 27KV 100A 125BIL 8KAIC,ARK05,3CUTOUTTUB ,43.34
360548,AR0130,ARMOR ROD 336 26/7 .704 - .740  72IN GREEN,PRE12,3FMDWIRE   ,20.42
360550,ATBXP50MVOLTR23KXLNLVRP7,FIXTURE AUTOBAHN COBRAHEAD LED MULTIVOLT NOCSA W/ PHOTOCONTROL RECEPTACLE,ACU03,3LGHTLED   ,0
360553,G3MAA14824ATB,STANDOFF FG 3PH 48IN OAL 24IN MIDDLE 15 DEG 2 POS 3 HOLE 1.5IN ROD,MAC10,3FIBBRKTS  ,209.67
360555,HDB096G12252,DEADEND FG 8FT 3-3/4 X 4-3/4,SHA10,3FIBARMDE  ,0
360557,R3CA-48,BRACKET 3PH EQUIPMENT MOUNT 6 POSITION 48IN,ALU01,3BRACKET   ,174.22
360570,25179Z,PIN POLE TOP OFFSET 1-3/8  NYLON THREAD HEAD,MAC10,3PINHDWE   ,20.52
360570,C206-0271,PIN POLE TOP OFFSET 1-3/8,209,3PINHDWE   ,14.14
360570,C2060271,PIN POLE TOP OFFSET 1-3/8 LEAD HEAD,ARK05,3PINHDWE   ,11.63
360570,J25179,PIN POLE TOP OFFSET 1-3/8 (LEAD),MAC10,3PINHDWE   ,16.39
360571,BMK-STAB-03-GAL,FOAM POLECRETE 30LB/ 5-6 CUBIC FT PU 75PSI 3 GALLON KIT 42/PALLET,FOA02,3FOAM      ,102.23
360571,SSU-2.8-25,POLE SECURE SET 2.5 GALLON PAIL 2 PART,GRA17,3FOAM      ,89.83
360571,SSU-4-25,FOAM POLECRETE 2.5 GALLON KIT 48/PALLET,GRA17,3FOAM      ,99.68
360575,9650/E1X04A/720/10M,SENSOR CURRENT 15KV 720:1,LIN04,3RELAYCTRL ,0
360576,9660/E1X04A/1355/10M,SENSOR CURRENT 25KV,LIN04,3RELAYCTRL ,0
360577,R-22981S,CABLE ASSY NEUTRAL SENSOR  W/SOCKET WITH 7-PIN AMPHENOL CONNECTOR,LIN04,3RELAYCTRL ,444.44
360581,PS1.2-2,"LABEL LETTER-""2""  FOR 2"" RY  BLACK ON YELLOW SHEET",ALM02,3SIGNS     ,0
360581,PS1.2-5,"LABEL LETTER-""5""  FOR 2"" RY  BLACK ON YELLOW SHEET",ALM02,3SIGNS     ,0
360581,PS1.2-6,"LABEL LETTER-""6 OR 9""  FOR 2"" RY  BLACK ON YELLOW SHEET",ALM02,3SIGNS     ,0
360581,PS1.2-7,"LABEL LETTER-""7""  FOR 2"" RY  BLACK ON YELLOW SHEET",ALM02,3SIGNS     ,0
360581,PS1.2-8,"LABEL LETTER-""8""  FOR 2"" RY  BLACK ON YELLOW SHEET",ALM02,3SIGNS     ,0
360582,"TAG DECAL PHASE ID A 1.5""","TAG DECAL PHASE ID LETTER ""A""1.5""",CIT05,3SIGNS     ,0
360582,"TAG DECAL PHASE ID B 1.5""","TAG DECAL PHASE ID LETTER ""B""1.5""",CIT05,3SIGNS     ,0
360602,ATBMEMVLTR23KXLP5AONLRFD214953,FIXTURE LED COBRAHEAD AUTOBAHN MULTIVOLT,ACU03,3LGHTLED   ,0
360605,1/2 14.4-120/240 1B,CONV 1/2KVA 14400 120/240 1 BUSHING,209,3TRANOH    ,693.83
360609,SPL1358P,TIE SPOOL 4/0 .521 - .588 32IN RED,PRE12,3FMDWIRE   ,4.53
360611,DS-28M,INSULATOR DEADEND SUSPENSION POLYMER 27KV,MAC10,3INSULDE   ,16.85
360615,360615,"STREETLIGHT ARM FOR WOOD POLE 1.25""X10",CIT05,3LGHTARM   ,0
360616,360616,"STREETLIGHT ARM FOR WOOD POLE 1.25""X16'",CIT05,3LGHTARM   ,0
360625,HANDHOLE COVER AL OVAL-ZN,POLE STREET LIGHT COVER FOR 25' POLE SINGLE ARM ALUMINUM OVAL  CITY OF GEORGETOWN,CIT05,3LGHTPART  ,0
360629,1SBM18CLRH,STANDOFF FG CUTOUT/ARRESTER 18IN 15 DEG 3 POS 4 HOLE  1.5IN ROD,TEC05,3FIBBRKTS  ,40.12
360629,F1CA-MV-A18-C4-H,STANDOFF FG CUTOUT/ARRESTER 18IN 15 DEG 3 POS 4 HOLE  1.5IN ROD,ALU01,3FIBBRKTS  ,40.12
360629,G1MDA318ATB,STANDOFF FG CUTOUT/ARRESTER 18IN 15 DEG 3 POS 7 HOLE 1.5IN ROD W/HRDWR (CLOVER LEAF),MAC10,3FIBBRKTS  ,31.49
360631,167 DV-240/120 PAD T1,PAD 167 KVA 14400X7200 240/120 1PH MAXI,GEP01,3TRANURD1P ,4385.49
360632,ELBOW STL 2X90X36R,ELBOW RIGID 2IN 90 DEGREE 36IN RADIUS,ECN01,3CONDUFITT ,82.4
360635,ELBOW PVC 6X90,ELBOW PVC 6IN 90 DEGREE 30IN STD RADIUS PLAIN END (59599),ATK01,3CONDUFITT ,50.47
360635,ELBOW PVC 6X90X36R BE,ELBOW PVC 6IN 90 DEGREE 36IN RADIUS BELLED END (875754),ATK01,3CONDUFITT ,82.22
360637,EBR-CA015B01830S,FIXTURE BARN 42W LED 120-277 3000K,EXC02,3LGHTLED   ,0
360637,EBR-CA015B01830S-700CAA1-111NN,FIXTURE SECURITY LIGHT 42W LED TYPE 3 120-277V 3000K,EXC02,3LGHTLED   ,0
360640,ELBOW PVC 6X45X48,ELBOW PVC 6IN 45 DEGREE 48IN RADIUS BELLED END (5233774),ATK01,3CONDUFITT ,26.41
360643,COV1000ANN,CURRENT TRANSFORMER 600V 1000:5 ALTA SERIES COV-6  SECONDARY HIGH ACCURACY METERING CT,TEX143,3CTVTPT    ,118.52
360646,COM0500ABN,CURRENT TRANSFORMER SECONDARY HIGH ACCURACY 500:5 ALTA SERIES COM-6 600V METERING CT,TEX143,3CTVTPT    ,165.09
360652,SS201S625,"BAND 5/8 W X .30"" THICK  X 100FT SS ROLL IN BOX USE W/ SS201B625",UND02,3FASTENERS ,0
360653,SS201B625,BUCKLE 5/84 FOR SUPER STRAP BANDING USE W/ SS201S625,UND02,3FASTENERS ,0
360686,500 14.4-480/277 3PH PAD PEC,PAD 500KVA 14400 480/277 3PH PEC SPEC,GEP01,3TRANURD3P ,17420.63
360688,ES4W8W,INSULINK #6 ACSR-10  AL/CU INS SLEEVE GREEN,ARK05,3CONNCOMP  ,0
360690,ICS64-1,SLEEVE #6-#6 INSULATED AL/CU,CIT05,3CONNCOMP  ,0.3
360690,U1N66,SPLICE #6-#6 INSULATED,THO05,3CONNCOMP  ,0.53
360695,ES2R6W,SPLICE #2-#8 INSULATED,ELE05,3CONNCOMP  ,0.33
360696,ICS73-1,SPLICE #2-#2 INSULATED,THO05,3CONNCOMP  ,0.44
360697,ICS72-1,SLEEVE #2-#4 INSULATED AL/CU,THO05,3CONNCOMP  ,0.52
360698,ES2R4W,SLEEVE #2 - #6 INSULATED AL/CU,FCI02,3CONNCOMP  ,0.32
360699,U1N102,SPLICE 1/0-#2 INSULATED,THO05,3CONNCOMP  ,0.8
360701,RAB6C,CONNECTOR SUBMERSIBLE 12-350MCM 6 PORT W/ INHIBITOR,THO05,3CONNURDSE ,20.26
360707,U2025R-2H,TAGS CABLE IDENTIFICATION RED,UTI05,3SIGNS     ,0.51
360709,7655-S-4-TI,TERMINATOR COLD SHRINK 500-1000MCM 15KV 250-800MCM 25KV W/ MTG BRACKET,3M002,3TERMINATO ,0
360710,2201017,GRIP CABLE SUPPORT DIA RANGE 1.00-1.240,CIT05,3GRIPS     ,0
360711,LR2.5-.75,GRIP CONDUIT RISER TYPE 3/4 - 1-1/8 FOR 2-1/2IN CONDUIT,LEW02,3GRIPS     ,31.29
360713,BKPLPE6,BACK PLATE FOR U GUARD STANDARD 6IN X 10FT,ELE15,3UGUARD    ,13.58
360714,S9650-O,PEDESTAL METER LESS SOCKETS,MIL07,3SOCKETS   ,214.26
360717,BKPLPE2,BACK PLATE FOR U GUARD STANDARD 2IN X 10FT,ELE15,3UGUARD    ,5.3
360719,BKPLPE4,BACK PLATE FOR U GUARD STANDARD 4IN X 10FT,ELE15,3UGUARD    ,6.79
360723,PE-4UG10,U GUARD RISER POLE STANDARD POLYETHYLENE 4IN X 10FT,ELE15,3UGUARD    ,23.46
360724,PE-5UG10,U GUARD RISER POLE STANDARD POLYETHYLENE 5IN X 10FT,ELE15,3UGUARD    ,36.35
360725,PEAD2-3V,BOOT RISER VENT 2IN TO 3IN,ELE15,3UGUARD    ,0
360726,PEAD4-6V,BOOT RISER VENT 4IN TO 6IN,ELE15,3UGUARD    ,0
360727,END BELL PVC 2,END BELL FOR 2IN PVC (59678),ATK01,3CONDUFITT ,3.32
360729,END BELL PVC 4,END BELL FOR 4IN PVC (59682),ATK01,3CONDUFITT ,5.34
360730,E997P,END BELL FOR 5IN PVC,UTI07,3CONDUFITT ,8.17
360731,PKKSTAK001,"STAKE PEDESTAL 40"" X 1-1/2""",ADV07,3PEDESTAL  ,0
360733,PVI21-386-043,SWITCHGEAR PADMOUNT 27KV 2S- NO LOAD,GWE02,3SWITCHURD ,0
360737,BARE CU 4 SOL SD 25LB SPL,4 AWG BARE SD CU SOLID 25LB SPOOL (200' PROX),SER02,3WIREBAREC ,7.55
360737,BRENAU 1000FT NRR,1/0 AWG AL TRIPLEX 1/0-1/0-2 URD 1000FT 40X24X17 NRR,CME02,3WIREUDSEC ,1.5
360742,TAF-150-36 08-10,"ANCHOR DOUBLE HELIX 8"" & 10""  1-1/2IN  X 3FT SQ SHAFT",EAR04,3ANCHOR    ,112.12
360742,TARN-625-842,ROD ANCHOR 5/8 X 7 PISA W/TWINEYE NUT,EAR04,3ANCHORROD ,25.74
360743,8710,BOLT MACHINE GALV 1/2 X 10,POW06,3BOLTWSHR  ,1.35
360744,8712,BOLT MACHINE GALV 1/2 X 12,POW06,3BOLTWSHR  ,1.6
360749,1SBH20V4,STANDOFF FG 1PH 20IN 15 DEG VERT PIN 1-3/8IN THREAD 2IN ROD,TEC05,3FIBBRKTS  ,75.22
360752,IDB096G12242,DEADEND FG 8FT 4X 6 2 WIRE LEWTEX 8FT GRAY,SHA10,3FIBARMDE  ,254.69
360757,501,SIDEWALK GUY POLE END PLATE FOR 2IN PIPE,CIT05,3BRACKET   ,15.41
360757,SGF-2P,GUY SIDEWALK POLE PLATE FOR 2IN PIPE,LIN05,3BRACKET   ,10.85
360758,502,GUY FITTING SIDESIDEWALK GUY END FITTING W/ 1 CLAMP FOR 2IN PIPEWALK POLE PLATE GALV.,WES08,3BRACKET   ,15.41
360759,GEP6,PLATE POLE EYE 3/4IN TOP MTG BOLT 2 EA 3/4IN BOTTOM MTG HOLES,ARK05,3BRACKET   ,2.72
360759,PEP-66-45,PLATE POLE EYE 3/4IN MTG BOLT 21000LB,MAC10,3BRACKET   ,9.79
360760,TB300012005X2,TANGENT FG 10FT 3-5/8 X 4-5/8 CNTR MNT W/ INSERTS RUS 05 GRAY,GEO08,3FIBARMTAN ,241.35
360761,CF694-12R,INSULATOR GUY STRAIN 12IN 21K CLEVIS-CLEVIS/ROLLER,HUG08,3FIBGUYSTN ,0
360762,TAP02CUSTR-03,2 AWG CU 19 STR SD HENDRIX TAP WIRE 750FT NRR TPR COVER,HEN03,3WIRERISER ,0
360780,CREO651W,POLE WOOD 65FT CL 1 CREOSOTE,209,2MFGCREPOL ,13.4
360783,CAP BANK SW 25KV 600KVAR,CAPACITOR BANK SWITCHED 25KV 600KVAR,GEG02,3CAPBANK   ,6909.88
360789,WCY75PB,CONNECTOR WEJTAP 336-795 TO 477-556 W/ SHELL,FCI02,3CONNSHOOT ,0
360790,2GUA072200D220,CAPACITOR 200KVAR 7200V 2 BUSH 95KV BIL,ABB07,3CAPACITOR ,633.23
360796,58L106WC70,CAPACITOR 200KVAR 7200V 2 BUSH 95KV BIL,GEG02,3CAPACITOR ,514.37
360803,75 DV-480/240 3PH PAD,PAD 75 KVA 14400X7200 480 MID TAP 240 3PH W/ TAPS +/- 2.5%,ERM02,3TRANURD3P ,6396.3
360804,IPCS2001,CONNECTOR METER INSULATOR PIERCING INSTALLATION A-2/0-#4 B#10-14,GES02,3CONNMECH  ,0
360810,WP-125-2-A,ARM STREET LIGHT AL 1-1/4IN X 2FT FOR WOOD POLE MOUNTING,SAL09,3LGHTARM   ,29.43
360833,ICS78-1,SPLICE 1/0-1/0 INSULATED,THO05,3CONNCOMP  ,0.45
360843,TR65,SPLICE NEUTRAL 1/0 SEMI-TENSION,THO05,3CONNCOMP  ,1.04
360844,100 DV-240/120 PAD T1,PAD 100 KVA 14400X7200 240/120 1PH TYPE 1/MAXI,GEP01,3TRANURD1P ,3577.78
360871,FP283A-1-180-N-N-N,PHOTOCELL POWEREYE ADAPTER CABLE 15FT,SUN08,3LGHTPE    ,0
360872,1012626,PEDESTAL METER 2 POSITION 200A,DUR03,3SOCKETS   ,0
360876,U5136-0-200S,PEDESTAL METER SINGLE 200A 4T W/200A UQFPH-M-200 MB & 4 CIR LC,MIL07,3SOCKETS   ,554.44
